2017/01/20 00:33:36,Fri,7.83,Mbit/s,7.62,Mbit/s
2017/01/20 00:34:09,Fri,8.92,Mbit/s,7.20,Mbit/s
2017/01/20 00:34:42,Fri,8.13,Mbit/s,7.43,Mbit/s
2017/01/20 00:35:15,Fri,8.47,Mbit/s,6.60,Mbit/s
2017/01/20 00:35:47,Fri,9.31,Mbit/s,7.16,Mbit/s
2017/01/20 00:36:20,Fri,8.46,Mbit/s,7.10,Mbit/s
2017/01/20 00:36:54,Fri,7.63,Mbit/s,7.93,Mbit/s
2017/01/20 00:37:27,Fri,8.59,Mbit/s,7.35,Mbit/s
2017/01/20 00:37:59,Fri,8.42,Mbit/s,7.09,Mbit/s
2017/01/20 00:38:35,Fri,8.98,Mbit/s,7.64,Mbit/s
2017/01/20 00:39:07,Fri,8.76,Mbit/s,7.03,Mbit/s
2017/01/20 00:39:39,Fri,8.26,Mbit/s,7.40,Mbit/s
2017/01/20 00:40:12,Fri,8.77,Mbit/s,7.31,Mbit/s
2017/01/20 00:40:45,Fri,8.32,Mbit/s,7.26,Mbit/s
2017/01/20 00:41:18,Fri,8.77,Mbit/s,7.15,Mbit/s
2017/01/20 00:41:51,Fri,9.24,Mbit/s,6.85,Mbit/s
2017/01/20 00:42:26,Fri,9.14,Mbit/s,7.56,Mbit/s
2017/01/20 00:42:58,Fri,8.21,Mbit/s,7.74,Mbit/s
2017/01/20 00:43:31,Fri,9.19,Mbit/s,8.11,Mbit/s
2017/01/20 00:44:04,Fri,9.42,Mbit/s,7.48,Mbit/s
2017/01/20 00:44:37,Fri,8.80,Mbit/s,7.02,Mbit/s
2017/01/20 00:45:10,Fri,8.97,Mbit/s,6.89,Mbit/s
2017/01/20 00:45:42,Fri,9.16,Mbit/s,7.12,Mbit/s
2017/01/20 00:46:15,Fri,8.23,Mbit/s,5.46,Mbit/s
2017/01/20 00:46:49,Fri,9.33,Mbit/s,7.33,Mbit/s
2017/01/20 00:47:21,Fri,8.54,Mbit/s,7.11,Mbit/s
2017/01/20 00:47:54,Fri,8.41,Mbit/s,7.44,Mbit/s
2017/01/20 00:48:27,Fri,9.09,Mbit/s,7.63,Mbit/s
2017/01/20 00:49:01,Fri,9.09,Mbit/s,7.63,Mbit/s
2017/01/20 00:49:33,Fri,8.12,Mbit/s,7.13,Mbit/s
2017/01/20 00:50:07,Fri,6.71,Mbit/s,6.61,Mbit/s
2017/01/20 00:50:40,Fri,8.89,Mbit/s,7.18,Mbit/s
2017/01/20 00:51:14,Fri,8.61,Mbit/s,7.45,Mbit/s
2017/01/20 00:51:47,Fri,7.30,Mbit/s,7.53,Mbit/s
2017/01/20 00:52:19,Fri,8.70,Mbit/s,7.63,Mbit/s
